Cód.,Vinho e Produtor,Preço, Preço CNPJ ,Caixa,Estoque,Classificação,,
,,,,,,,,
,FRANÇA,,,,,,,
,Château Dauzac (Bordeaux),,,,,,,
1191,Gigondas (Brunel) ," R$ 540,00 "," R$ 366,21 ",6 X 750ml,174,Tintos,,
2893,Hermitage (Brunel)," R$ 1.145,00 "," R$ 778,60 ",6 X 750ml,87,Tintos,,NOVO
,,,,,,,,
,ITÁLIA,,,,,,,
,Pio Cesare (Piemonte),,,,,,,
2477,Barolo Chinato (Pio Cesare)," R$ 1.549,00 "," R$ 1.053,31 ",6 X 750ml,4,Doces e Fortificados,,
444,L Altro Chardonnay (Pio Cesare) ," R$ 438,00 "," R$ 296,98 ",12 X 750ml,343,Brancos,,
445,Piodilei Chardonnay (Pio Cesare) ," R$ 986,00 "," R$ 669,90 ",12 X 750ml,97,Brancos,,
2842,Sauvignon Blanc (Pio Cesare) ," R$ 715,00 "," R$ 486,04 ",12 X 750ml,125,Brancos,,
461,Barbera Dalba (Pio Cesare) ," R$ 460,00 "," R$ 312,65 ",12 X 750ml,271,Tintos,,
423,Barbera Dalba Magnum (Pio Cesare) ," R$ 892,00 "," R$ 606,12 ",6 X 1500ml,87,Tintos,,
488,Barbera Fides (Pio Cesare) ," R$ 838,00 "," R$ 568,77 ",12 X 750ml,118,Tintos,,
1703,Oltre (Pio Cesare)," R$ 596,00 "," R$ 404,71 ",12 X 750ml,58,Tintos,,
1960,Nebbiolo Langhe (Pio Cesare)," R$ 697,00 "," R$ 472,21 ",12 X 750ml,208,Tintos,,
197,Barolo (Pio Cesare)," R$ 1.587,00 "," R$ 1.078,69 ",12 X 750ml,509,Tintos,,
2031,Barolo Magnum (Pio Cesare)," R$ 3.385,00 "," R$ 2.301,76 ",6 X 1500ml,62,Tintos,,
696,Barbaresco (Pio Cesare)," R$ 1.587,00 "," R$ 1.078,67 ",12 X 750ml,98,Tintos,,
697,Barolo Ornato (Pio Cesare)," R$ 2.169,00 "," R$ 1.473,31 ",12 X 750ml,170,Tintos,,
698,Barbaresco Ii Bricco (Pio Cesare)," R$ 2.169,00 "," R$ 1.578,29 ",12 X 750ml,55,Tintos,,
2684,Barolo Mosconi (Pio Cesare)," R$ 2.876,00 "," R$ 1.955,05 ",3 X 750ml,22,Tintos,,
,,,,,,,,
,Proprietà Sperino (Piemonte - Lessona),,,,,,,
2342,Uvaggio Rosso Costa Della Sesia (Proprieta Sperino)," R$ 672,00 "," R$ 456,19 ",6 X 750ml,6,Tintos,,
2343,Lessona (Proprieta Sperino)," R$ 1.203,00 "," R$ 816,13 ",6 X 750ml,4,Tintos,,
,,,,,,,,
,Bel Colle (Piemonte),,,,,,,
2638,Asti Dolce Millesimato (Bel Colle)," R$ 182,00 "," R$ 121,99 ",6 X 750ml,473,Frisantes e Espumantes,,
2754,Gavi Di Gavi (Bel Colle)," R$ 265,00 "," R$ 179,30 ",6 X 750ml,42,Brancos,,
2633,Barbera D'Asti (Bel Colle) ," R$ 162,00 "," R$ 109,31 ",6 X 750ml,1037,Tintos,,
2590,Barbera D'Asti Nuwanda (Bel Colle)," R$ 368,00 "," R$ 248,44 ",6 X 750ml,332,Tintos,,
2634,Barbaresco Convivio (Bel Colle) ," R$ 438,00 "," R$ 296,86 ",6 X 750ml,103,Tintos,,
2587,Barbaresco Pajore (Bel Colle)," R$ 846,00 "," R$ 573,67 ",6 X 750ml,72,Tintos,,
2636,Langhe Nebbiolo (Bel Colle) ," R$ 288,00 "," R$ 193,72 ",6 X 750ml,345,Tintos,,
2635,Barolo (Bel Colle)," R$ 560,00 "," R$ 380,74 ",6 X 750ml,108,Tintos,,
2637,Barolo Simposio (Bel Colle)," R$ 720,00 "," R$ 488,37 ",6 X 750ml,62,Tintos,,
2681,Barolo Riserva 10 Anni (Bel Colle)," R$ 875,00 "," R$ 595,53 ",6 X 750ml,400,Tintos,,
2589,Barolo Monvigliero (Bel Colle) ," R$ 875,00 "," R$ 594,09 ",6 X 750ml,81,Tintos,,
,,,,,,,,
,Tenuta Podernovo (Toscana - Pisa),,,,,,,
1012,Aliotto (Podernovo) ," R$ 249,00 "," R$ 167,14 ",6 X 750ml,1291,Tintos,,
1534,Teuto (Podernovo) ," R$ 447,00 "," R$ 301,87 ",6 X 750ml,10,Tintos,,
,,,,,,,,
,Ferrari (Trentino),,,,,,,
408,Ferrari Blanc de Blancs Maximum," R$ 496,00 "," R$ 336,98 ",6 X 750ml,1226,Frisantes e Espumantes,,
409,Ferrari Blanc de Blancs Maximum Magnum," R$ 1.079,00 "," R$ 732,79 ",6 X 1500ml,113,Frisantes e Espumantes,,
1686,Ferrari Maximum Rose," R$ 575,00 "," R$ 390,56 ",6 X 750ml,985,Frisantes e Espumantes,,
410,Ferrari Perle ," R$ 692,00 "," R$ 470,08 ",6 X 750ml,677,Frisantes e Espumantes,,
470,Ferrari Perle Nero ," R$ 1.672,00 "," R$ 1.136,70 ",6 X 750ml,95,Frisantes e Espumantes,,
413,Giulio Ferrari Riserva ," R$ 3.116,00 "," R$ 2.118,47 ",6 X 750ml,38,Frisantes e Espumantes,,
2600,Giulio Ferrari Riserva Rose," R$ 4.674,00 "," R$ 3.178,93 ",1 X 750ml,0,Frisantes e Espumantes,,
,,,,,,,,
,Damijan (Friuli-Venezia Giulia),,,,,,,
2783,Pinot Grigio (Damijan) ," R$ 1.294,00 "," R$ 879,81 ",6 X 750ml,59,Laranjas,,
2172,Ribolla Gialla (Damijan) ," R$ 1.294,00 "," R$ 879,81 ",6 X 750ml,37,Laranjas,,
2174,Prelit (Damijan) ," R$ 1.294,00 "," R$ 879,81 ",6 X 750ml,17,Tintos,,
,,,,,,,,
,Armani (Veneto/Trentino),,,,,,,
336,Sauvignon Blanc (Armani)," R$ 211,00 "," R$ 142,23 ",6 X 750ml,499,Brancos,,
330,Pinot Grigio Corvara (Armani) ," R$ 211,00 "," R$ 142,23 ",6 X,1267,Brancos,,
2648,Pinot Grigio Friuli Grave (Armani) ," R$ 211,00 "," R$ 142,06 ",6 X 750ml,802,Brancos,,
2738,Orange From The Basement (Armani) ," R$ 327,00 "," R$ 221,13 ",12 X 750ml,708,Laranjas,,
2272,Pinot Nero (Armani) ," R$ 211,00 "," R$ 142,23 ",6 X 750ml,699,Tintos,,
337,Foja Tonda (Armani) ," R$ 305,00 "," R$ 205,75 ",6 X 750ml,59,Tintos,,
2713,Amarone Riserva Cuslanus (Armani) ," R$ 848,00 "," R$ 575,68 ",6 X 750ml,28,Tintos,,
,,,,,,,,
,Michele Castellani (Veneto),,,,,,,
401,Valpolicella Classico I Castei (Michele Castellani) ," R$ 258,00 "," R$ 174,59 ",6 X 750ml,199,Tintos,,
412,Valpolicella Ripasso I Castei (Michele Castellani) ," R$ 345,00 "," R$ 234,03 ",6 X 750ml,135,Tintos,,
426,Amarone Classico Valpolicella (Michele Castellani)," R$ 752,00 "," R$ 509,83 ",6 X 750ml,87,Tintos,,
425,Amarone I Castei Campo Casalin (Michele Castellani) ," R$ 797,00 "," R$ 539,71 ",6 X 750ml,129,Tintos,,
578,Amarone Clas. Cinque Stelle Doc  (Michele Castellani)," R$ 1.024,00 "," R$ 693,88 ",6 X 750ml,78,Tintos,,
,,,,,,,,
,Ca' La Bionda (Valpolicella),,,,,,,
2434,Valpolicella Classico (Ca La Bionda)," R$ 402,00 "," R$ 272,85 ",6 X 750ml,125,Tintos,,
2435,Valpolicella Superiore Casalvegri (Ca La Bionda)," R$ 584,00 "," R$ 396,54 ",6 X 750ml,66,Tintos,,
2436,Amarone Classico (Ca La Bionda)," R$ 980,00 "," R$ 666,10 ",6 X 750ml,16,Tintos,,
2739,Amarone Ravazzol Riserva (Ca La Bionda)," R$ 1.832,00 "," R$ 1.244,91 ",6 X 750ml,89,Tintos,,
,,,,,,,,
,Anselmi (Veneto - Soave),,,,,,,
2175,San Vicenzo (Anselmi)," R$ 395,00 "," R$ 267,01 ",6 X 750ml,93,Brancos,,
2176,Capitel Croce (Anselmi) ," R$ 642,00 "," R$ 436,07 ",6 X 750ml,62,Brancos,,
,,,,,,,,
,Bedin (Veneto),,,,,,,
325,Prosecco Extra Dry (Bedin)," R$ 199,00 "," R$ 134,12 ",6 X 750ml,2,Frisantes e Espumantes,,
,,,,,,,,
,Medici Ermete (Emilia - Romagna),,,,,,,
1452,Lambrusco Bianco Dolce Dell Emilia (Medici Ermete)," R$ 89,00 "," R$ 60,11 ",12 X 750ml,2011,Frisantes e Espumantes,,
1455,Lambrusco Rosso Dolce Dell Emilia (Medici Ermete)," R$ 89,00 "," R$ 60,11 ",12 X 750ml,381,Frisantes e Espumantes,,
1458,Lambrusco Reggiano Concerto (Medici Ermete)," R$ 269,00 "," R$ 181,73 ",6 X 750ml,61,Frisantes e Espumantes,,
2743,Lambrusco Phermento (Medici Ermete) ," R$ 269,00 "," R$ 181,73 ",6 X 750ml,62,Frisantes e Espumantes,,
,,,,,,,,
,San Fabiano Calcinaia (Toscana - Chianti Classico),,,,,,,
472,Chianti Classico (San Fabiano) ," R$ 400,00 "," R$ 270,83 ",6 X 750ml,60,Tintos,,
475,Cerviolo Rosso (San Fabiano)," R$ 925,00 "," R$ 628,65 ",6 X 750ml,47,Tintos,,
2184,Chianti Classico Cellole Gran Selezione (San Fabiano)," R$ 720,00 "," R$ 489,36 ",6 X 750ml,80,Tintos,,
,,,,,,,,
,Straccali (Toscana),,,,,,,
2715,Pinot Grigio (Giulio Straccali)," R$ 154,00 "," R$ 103,94 ",12 X 750ml,918,Brancos,,
2856,Vino Bianco (Giulio Straccali)," R$ 129,00 "," R$ 87,69 ",6 X 750ml,705,Brancos,,
2857,Vino Rosso (Giulio Straccali)," R$ 129,00 "," R$ 87,69 ",6 X 750ml,651,Tintos,,NOVO
2652,Toscana Rosso (Giulio Stracalli)," R$ 154,00 "," R$ 103,33 ",12 X 750ml,1034,Tintos,,NOVO
2858,Chianti (Giulio Straccali)," R$ 190,00 "," R$ 128,78 ",12 X 750ml,148,Tintos,,NOVO
2859,Chianti Classico (Giulio Straccali)," R$ 328,00 "," R$ 222,65 ",6 X 750ml,146,Tintos,,NOVO
,,,,,,,,
,Montevertine (Toscana - Chianti Classico),,,,,,,
