Cód.,Vinho e Produtor,Preço, Preço CNPJ ,Caixa,Estoque,Classificação,,
,,,,,,,,
,FRANÇA,,,,,,,
,Château Dauzac (Bordeaux),,,,,,,
,El Principal (Maipo),,,,,,,
2210,Kine Verdejo (El Principal)," R$ 548,00 "," R$ 372,43 ",6 X 750ml,55,Brancos,,
1046,Calicanto (El Principal)," R$ 269,00 "," R$ 181,83 ",6 X 750ml,7979,Tintos,,
1558,Calicanto Magnum (El Principal)," R$ 626,00 "," R$ 423,99 ",6 X 1500ml,134,Tintos,,
1047,Memorias (El Principal)," R$ 580,00 "," R$ 377,97 ",6 X 750ml,4143,Tintos,,
1556,Memorias Magnum (El Principal)," R$ 1.268,00 "," R$ 861,01 ",3 X 1500ml,121,Tintos,,
1557,Memorias Double Magnum 3000ml (El Principal)," R$ 2.477,00 "," R$ 1.683,92 ",1 X 3000ml,0,Tintos,,
1048,El Principal Andetelmo (El Principal)," R$ 1.421,00 "," R$ 965,10 ",6 X 750ml,224,Tintos,,
2096,El Principal Magnum (El Principal)," R$ 2.795,00 "," R$ 1.899,91 ",3 X 1500ml,58,Tintos,,
,,,,,,,,
,G2 Gonzalo Guzmán (Maipo-Andes),,,,,,,
2662,Alba de Andes (G2 Gonzalo Guzman)," R$ 304,00 "," R$ 205,27 ",6 X 750ml,80,Brancos,,
2664,Vontade (G2 Gonzalo Guzman)," R$ 309,00 "," R$ 208,41 ",6 X 750ml,1173,Tintos,,
2843,Vontade Magnum (G2 Gonzalo Guzman)," R$ 765,00 "," R$ 520,50 ",6 X 1500ml,157,Tintos,,
2844,Oriundo de Itata (G2 Gonzalo Guzman)," R$ 292,00 "," R$ 198,22 ",6 X 750ml,26,Tintos,,
2714,El Afan (G2 Gonzalo Guzman)," R$ 387,00 "," R$ 262,21 ",6 X 750ml,166,Tintos,,
2663,Garboso (G2 Gonzalo Gusman)," R$ 485,00 "," R$ 328,79 ",6 X 750ml,211,Tintos,,
,,,,,,,,
,Reta Espanha (Limari e Maule),,,,,,,
2665,Quebrada Seca (Reta Marcelo Retamal)," R$ 709,00 "," R$ 480,63 ",6 X 750ml,595,Brancos,,
2666,Quebrada Chalinga (Reta Marcelo Retamal)," R$ 709,00 "," R$ 480,63 ",6 X 750ml,100,Tintos,,
2667,Romelio (Reta Marcelo Retamal)," R$ 782,00 "," R$ 530,67 ",6 X 750ml,73,Tintos,,
2877,Semillon (Reta Marcelo Retamal)," R$ 325,00 "," R$ 221,00 ",12 X 750ml,5,Brancos,,NOVO
,,,,,,,,
,"Terranoble (Maule, Colchagua e Casablanca)",,,,,,,
274,Chardonnay Civis (Terranoble)," R$ 142,00 "," R$ 94,04 ",12 X 750ml,237,Brancos,,
273,Sauvignon Blanc Civis (Terranoble)," R$ 142,00 "," R$ 94,04 ",12 X 750ml,406,Brancos,,
2496,Chardonnay Algarrobo (Terranoble)," R$ 242,00 "," R$ 162,39 ",12 X 750ml,142,Brancos,,
268,Carmenere Civis (Terranoble)," R$ 142,00 "," R$ 94,04 ",12 X 750ml,489,Tintos,,
272,Cab. Sauvignon Civis (Terranoble)," R$ 142,00 "," R$ 94,04 ",12 X 750ml,790,Tintos,,
1860,Pinot Noir Civis (Terranoble)," R$ 142,00 "," R$ 94,24 ",12 X 750ml,1041,Tintos,,
2508,Merlot Civis (Terranoble)," R$ 142,00 "," R$ 94,04 ",12 X 750ml,366,Tintos,,
2497,Carignan Azara (Terranoble)," R$ 242,00 "," R$ 162,39 ",12 X 750ml,56,Tintos,,
267,Cab. Sauvignon Azara (Terranoble)," R$ 242,00 "," R$ 162,39 ",12 X 750ml,266,Tintos,,
269,Carmenere Azara (Terranoble)," R$ 242,00 "," R$ 162,39 ",12 X 750ml,279,Tintos,,
2509,Pinot Noir Algarrobo (Terranoble)," R$ 242,00 "," R$ 162,39 ",12 X 750ml,59,Tintos,,
1308,Ca1 Carmenere Andes (Terranoble)," R$ 365,00 "," R$ 246,17 ",12 X 750ml,284,Tintos,,
1307,Ca2 Carmenere Costa (Terranoble) ," R$ 365,00 "," R$ 246,17 ",12 X 750ml,196,Tintos,,
137,Lahuen Rojo (Terranoble)," R$ 425,00 "," R$ 287,32 ",12 X 750ml,329,Tintos,,
2845,Raices del Maule (Terranoble)," R$ 1.235,00 "," R$ 839,80 ",6 X 750ml,34,Tintos,,
Linha Varietal,,,,,,,,
277,Sauvignon Blanc Estate (Terranoble)," R$ 85,00 "," R$ 55,56 ",12 X 750ml,3302,Brancos,,
278,Chardonnay Estate (Terranoble)," R$ 85,00 "," R$ 56,37 ",12 X 750ml,2487,Brancos,,
289,Chardonnay Estate 375Ml (Terranoble)," R$ 53,00 "," R$ 34,79 ",24 X 375ml,3285,Brancos,,
276,Cab. Sauvignon Estate (Terranoble)," R$ 85,00 "," R$ 56,37 ",12 X 750ml,4648,Tintos,,
288,Cab. Sauvignon Estate 375Ml (Terranoble)," R$ 53,00 "," R$ 34,79 ",24 X 375ml,3138,Tintos,,
418,Carmenere Estate (Terranoble)," R$ 85,00 "," R$ 56,37 ",12 X 750ml,5963,Tintos,,
,,,,,,,,
,Villard (Casablanca e Maipo),,,,,,,
57,Sauvignon Blanc Expresion Res. (Villard)," R$ 199,00 "," R$ 135,32 ",12 X 750ml,42,Brancos,,
48,Chardonnay Expresion Reserva (Villard)," R$ 199,00 "," R$ 135,32 ",12 X 750ml,63,Brancos,,
2647,Semillon (Villard)," R$ 274,00 "," R$ 185,82 ",12 X 750ml,74,Brancos,,
34,Le Chardonnay Grand Vin (Villard)," R$ 295,00 "," R$ 199,46 ",12 X 750ml,214,Brancos,,
2744,Chardonnay Arganat (Villard)," R$ 622,00 "," R$ 422,24 ",6 X 750ml,85,Brancos,,
2612,Pinot Grigio Ramato (Villard)," R$ 274,00 "," R$ 185,82 ",12 X 750ml,188,Roses,,
2014,Syrah Expresion Reserva (Villard)," R$ 199,00 "," R$ 135,32 ",12 X 750ml,136,Tintos,,
42,Pinot Noir Expresion (Villard)," R$ 199,00 "," R$ 135,32 ",12 X 750ml,83,Tintos,,
2690,Carignan JCV (Villard)," R$ 274,00 "," R$ 185,82 ",6 X 750ml,20,Tintos,,
2691,Grenache JCV (Villard)," R$ 274,00 "," R$ 185,82 ",6 X 750ml,154,Tintos,,
136,L Assemblage Grand Vin (Villard)," R$ 295,00 "," R$ 199,46 ",12 X 750ml,128,Tintos,,
29,Gran Vin Le Pinot Noir (Villard)," R$ 440,00 "," R$ 297,68 ",12 X 750ml,53,Tintos,,
2646,Le Syrah Grand Vin (Villard)," R$ 440,00 "," R$ 297,68 ",12 X 750ml,99,Tintos,,
46,Tanagra  Syrah (Villard)," R$ 910,00 "," R$ 619,85 ",12 X 750ml,121,Tintos,,
,,,,,,,,
,Viñedos de Alcohuaz (Valle de Elqui),,,,,,,
2786,VDA 7 (Alcohuaz)," R$ 257,00 "," R$ 174,06 ",12 X 750ml,197,Tintos,,
2340,Grus (Alcohuaz)," R$ 406,00 "," R$ 274,19 ",6 X 750ml,95,Tintos,,
2466,Syrah Tococo (Alcohuaz)," R$ 579,00 "," R$ 391,91 ",6 X 750ml,40,Tintos,,
2468,Cuesta Chica (Alcohuaz)," R$ 579,00 "," R$ 391,91 ",6 X 750ml,162,Tintos,,
2341,Rhu (Alcohuaz)," R$ 783,00 "," R$ 530,75 ",6 X 750ml,129,Tintos,,
,,,,,,,,
,URUGUAI,,,,,,,
,Bouza (Montevideo e Canelones),,,,,,,
301,Chardonnay (Bodega Bouza)," R$ 340,00 "," R$ 230,51 ",6 X 750ml,533,Brancos,,
307,Albarinho (Bodega Bouza)," R$ 340,00 "," R$ 230,30 ",6 X 750ml,734,Brancos,,
2039,Coco Chardonnay Albarino (Bouza)," R$ 819,00 "," R$ 556,82 ",6 X 750ml,155,Brancos,,
303,Tannat (Bodega Bouza)," R$ 340,00 "," R$ 228,29 ",12 X 750ml,552,Tintos,,
305,Tannat Merlot (Bodega Bouza)," R$ 340,00 "," R$ 229,06 ",6 X 750ml,531,Tintos,,
304,Tempranillo Tannat (Bodega Bouza)," R$ 436,00 "," R$ 295,81 ",6 X 750ml,312,Tintos,,
2369,Tannat Pan De Azucar (Bodega Bouza)," R$ 582,00 "," R$ 394,90 ",6 X 750ml,242,Tintos,,
2789,Merlot Pan De Azucar (Bodega Bouza)," R$ 582,00 "," R$ 395,36 ",6 X 750ml,135,Tintos,,
1649,Tannat Parcela Única A6 (Bodega Bouza)," R$ 668,00 "," R$ 453,71 ",6 X 750ml,121,Tintos,,
2790,Tannat Las Espinas (Bodega Bouza)," R$ 819,00 "," R$ 556,63 ",6 X 750ml,80,Tintos,,
192,Monte Vide Eu (Bodega Bouza)," R$ 834,00 "," R$ 565,58 ",6 X 750ml,261,Tintos,,
,,,,,,,,
,ARGENTINA,,,,,,,
,Luigi Bosca (Luján de Cuyo e Maipú),,,,,,,
2622,La Linda Extra Brut (Luigi Bosca)," R$ 109,00 "," R$ 74,12 ",6 X 750ml,3621,Frisantes e Espumantes,,
2846,La Linda Sweet (Luigi Bosca)," R$ 109,00 "," R$ 74,12 ",6 X 750ml,646,Doces e Fortificados,,
199,La Linda Chardonnay (Luigi Bosca)," R$ 109,00 "," R$ 74,12 ",6 X 750ml,10668,Brancos,,
559,La Linda Torrontes (Luigi Bosca)," R$ 109,00 "," R$ 74,12 ",6 X 750ml,5158,Brancos,,
177,La Linda Rose (Luigi Bosca)," R$ 109,00 "," R$ 74,12 ",6 X 750ml,7564,Roses,,
176,La Linda Malbec (Luigi Bosca)," R$ 109,00 "," R$ 74,12 ",6 X 750ml,55173,Tintos,,
194,La Linda Cabernet Sauvignon (Luigi Bosca)," R$ 109,00 "," R$ 74,12 ",6 X 750ml,15208,Tintos,,
2178,La Linda Old Vines Malbec (Luigi Bosca)," R$ 153,00 "," R$ 103,68 ",6 X 750ml,4239,Tintos,,
Tier 1 - Insignia,,,,,,,,
163,Gewurztraminer Granos Nobles 500Ml (Luigi Bosca)," R$ 399,00 "," R$ 271,36 ",6 X 500ml,230,Doces e Fortificados,,
180,Chardonnay Insignia (Luigi Bosca)," R$ 215,00 "," R$ 146,11 ",6 X 750ml,1464,Brancos,,
191,Sauvignon Blanc Insignia (Luigi Bosca)," R$ 215,00 "," R$ 146,11 ",6 X 750ml,1029,Brancos,,
153,Riesling (Luigi Bosca)," R$ 215,00 "," R$ 146,11 ",6 X 750ml,3606,Brancos,,
151,Cabernet Sauvignon Insignia (Luigi Bosca)," R$ 215,00 "," R$ 146,11 ",6 X 750ml,2335,Tintos,,
152,Malbec Insignia (Luigi Bosca)," R$ 215,00 "," R$ 146,11 ",6 X 750ml,6812,Tintos,,
165,Pinot Noir Insignia (Luigi Bosca)," R$ 215,00 "," R$ 146,11 ",6 X 750ml,1199,Tintos,,
Tier 2 - De Sangre,,,,,,,,
2645,White Blend De Sangre (Luigi Bosca)," R$ 290,00 "," R$ 195,18 ",6 X 750ml,986,Brancos,,
2849,A Rosé is a Rosé is a Rosé (Luigi Bosca)," R$ 290,00 "," R$ 195,18 ",6 X 750ml,1053,Roses,,
161,Malbec DOC De Sangre (Luigi Bosca)," R$ 312,00 "," R$ 210,61 ",6 X 750ml,3366,Tintos,,
1537,Corte De Sangre (Luigi Bosca)," R$ 312,00 "," R$ 210,74 ",6 X 750ml,585,Tintos,,
2639,Malbec Finca Los Miradores De Sangre (Luigi Bosca)," R$ 312,00 "," R$ 210,74 ",6 X 750ml,245,Tintos,,
2641,Malbec Ed. Limitada De Sangre (Luigi Bosca)," R$ 312,00 "," R$ 210,74 ",6 X 750ml,283,Tintos,,
2642,Cabernet Franc De Sangre (Luigi Bosca)," R$ 312,00 "," R$ 210,74 ",6 X 750ml,1481,Tintos,,
2643,Cabernet Sauvignon De Sangre (Luigi Bosca) ," R$ 312,00 "," R$ 210,74 ",6 X 750ml,944,Tintos,,
Tier 3 - Top,,,,,,,,
178,Boheme Espumoso  (Luigi Bosca)," R$ 675,00 "," R$ 457,79 ",4 X 750ml,102,Frisantes e Espumantes,,
2855,Chardonnay Filos (Luigi Bosca)," R$ 965,00 "," R$ 654,88 ",4 X 750ml,62,Brancos,,
155,Malbec DOC Los Nobles (Luigi Bosca)," R$ 789,00 "," R$ 535,21 ",6 X 750ml,239,Tintos,,
2866,Cabernet Sauvignon Leon (Luigi Bosca)," R$ 1.072,00 "," R$ 729,30 ",4 X 750ml,96,Tintos,,
2683,Paraíso (Luigi Bosca) ," R$ 1.331,00 "," R$ 904,31 ",6 X 750ml,283,Tintos,,
,,,,,,,,
,Viña Alicia (Luján de Cuyo),,,,,,,
139,Paso De Piedra Cabernet Sauvignon (Vina Alicia)," R$ 240,00 "," R$ 162,93 ",6 X 750ml,89,Tintos,,
138,Paso De Piedra Malbec (Vina Alicia)," R$ 240,00 "," R$ 162,93 ",6 X 750ml,268,Tintos,,
141,Malbec (Vina Alicia)," R$ 433,00 "," R$ 292,66 ",6 X 750ml,159,Tintos,,
147,Malbec Brote Negro (Vina Alicia)," R$ 2.295,00 "," R$ 1.559,92 ",6 X 750ml,175,Tintos,,
,,,,,,,,
,Alta Yari (Valle de Uco),,,,,,,
2746,Torrontes Dulce 4 Nevada (Alta Yari)," R$ 352,00 "," R$ 238,54 ",6 X 500ml,323,Doces e Fortificados,,
2671,Chardonnay (Alta Yari)," R$ 110,00 "," R$ 73,30 ",12 X 750ml,1905,Brancos,,
2674,Chardonnay Reserva (Alta Yari)," R$ 161,00 "," R$ 108,43 ",12 X 750ml,555,Brancos,,
2672,Torrontes (Alta Yari) ," R$ 110,00 "," R$ 73,30 ",12 X 750ml,862,Brancos,,
2678,Gran Torrontes (Alta Yari)," R$ 273,00 "," R$ 185,17 ",6 X 750ml,318,Brancos,,
2673,Malbec (Alta Yari) ," R$ 110,00 "," R$ 73,30 ",12 X 750ml,1710,Tintos,,
2676,Malbec Reserva (Alta Yari)," R$ 161,00 "," R$ 108,43 ",12 X 750ml,1325,Tintos,,
2677,Cabernet Franc Reserva (Alta Yari)," R$ 161,00 "," R$ 108,43 ",12 X 750ml,837,Tintos,,
2675,Cabernet Sauvignon Reserva (Alta Yari)," R$ 161,00 "," R$ 108,43 ",12 X 750ml,483,Tintos,,
2779,Pinot Noir (Alta Yari) ," R$ 273,00 "," R$ 185,69 ",6 X 750ml,227,Tintos,,
2679,Gran Malbec (Alta Yari) ," R$ 273,00 "," R$ 185,17 ",6 X 750ml,825,Tintos,,
2680,Gran Corte (Alta Yari)," R$ 320,00 "," R$ 216,94 ",6 X 750ml,576,Tintos,,
2841,Malbec Gran Calcareo (Alta Yari) ," R$ 680,00 "," R$ 462,90 ",6 X 750ml,411,Tintos,,
,,,,,,,,
,Phebus-Bodegas Fabre (Mendoza),,,,,,,
2835,Chardonnay Estate (Phebus-Bodegas Fabre)," R$ 82,00 "," R$ 54,96 ",12 X 750ml,3363,Brancos,,
2840,Chardonnay Reserva (Phebus-Bodegas Fabre)," R$ 135,00 "," R$ 91,62 ",12 X 750ml,191,Brancos,,
2837,Torrontes Estate (Phebus-Bodegas Fabre)," R$ 82,00 "," R$ 54,96 ",12 X 750ml,2704,Brancos,,
2834,Rose Estate (Phebus-Bodegas Fabre)," R$ 82,00 "," R$ 54,96 ",12 X 750ml,1686,Roses,,
2833,Malbec Estate (Phebus-Bodegas Fabre)," R$ 82,00 "," R$ 54,96 ",12 X 750ml,5652,Tintos,,
2836,Cabernet Estate (Phebus-Bodegas Fabre)," R$ 82,00 "," R$ 54,96 ",12 X 750ml,1581,Tintos,,
2838,Malbec Reserva (Phebus-Bodegas Fabre)," R$ 135,00 "," R$ 91,62 ",12 X 750ml,2825,Tintos,,
2839,Cabernet Reserva (Phebus-Bodegas Fabre)," R$ 135,00 "," R$ 91,62 ",12 X 750ml,2665,Tintos,,
2885,Malbec Gran Reserva (Phebus-Bodegas Fabre)," R$ 297,00 "," R$ 201,96 ",12 X 750ml,347,Tintos,,NOVO
,,,,,,,,
,Bodega Yacochuya (Salta),,,,,,,
2879,Torrontes Coquena (Bodega Yacochuya) ," R$ 147,00 "," R$ 99,46 ",6 X 750ml,3221,Brancos,,NOVO
2895,Torrontes (Bodega Yacochuya)," R$ 228,00 "," R$ 155,04 ",6 X 750ml,37,Brancos,,NOVO
2878,Malbec Coquena (Bodega Yacochuya) ," R$ 147,00 "," R$ 99,46 ",6 X 750ml,4236,Tintos,,NOVO
2880,Tannat Coquena (Bodega Yacochuya)," R$ 147,00 "," R$ 99,46 ",6 X 750ml,839,Tintos,,NOVO
2881,Blend Coquena (Bodega Yacochuya) ," R$ 194,00 "," R$ 131,68 ",6 X 750ml,673,Tintos,,NOVO
2882,Blend Spy (Bodega Yacochuya) ," R$ 464,00 "," R$ 315,18 ",6 X 750ml,368,Tintos,,NOVO
2883,Malbec Spy (Bodega Yacochuya) ," R$ 610,00 "," R$ 414,64 ",6 X 750ml,182,Tintos,,NOVO
2894,Yacochuya (Bodega Yacochuya)," R$ 945,00 "," R$ 642,60 ",6 X 750ml,9,Tintos,,NOVO
,,,,,,,,
,Colomé (Salta),,,,,,,
38,Torrontes Estate (Colome)," R$ 142,00 "," R$ 94,69 ",6 X 750ml,198,Brancos,,
36,Malbec Estate (Colome)," R$ 266,00 "," R$ 180,36 ",6 X 750ml,654,Tintos,,
1559,Colome Lote Especial Malbec (Colome)," R$ 312,00 "," R$ 210,75 ",6 X 750ml,8,Tintos,,
1867,Bonarda Lote Especial (Colome)," R$ 312,00 "," R$ 210,75 ",6 X 750ml,26,Tintos,,
2015,Colome Autentico (Colome)," R$ 496,00 "," R$ 336,37 ",6 X 750ml,111,Tintos,,
2407,Malbec Altura Maxima (Colome)," R$ 2.167,00 "," R$ 1.451,67 ",3 X 750ml,113,Tintos,,
2887,Malbec 1831 Oldest Vines (Colome)," R$ 787,00 "," R$ 535,16 ",6 X 750ml,68,Tintos,,NOVO
,,,,,,,,
,Familia Schroeder (Patagonia),,,,,,,
1216,Sauvignon Blanc Saurus (Schroeder)," R$ 147,00 ",#VALOR!,12 X 750ml,160,Brancos,,
1217,Chardonnay Saurus (Schroeder)," R$ 147,00 ",#VALOR!,12 X 750ml,140,Brancos,,
2660,Pinot Noir Rose Saurus (Schroeder)," R$ 147,00 ",#VALOR!,12 X 750ml,34,Roses,,
2682,Malbec Bariloche (Schroeder)," R$ 108,00 ",#VALOR!,6 X 750ml,1456,Tintos,,
1218,Merlot Saurus (Schroeder)," R$ 147,00 ",#VALOR!,12 X 750ml,295,Tintos,,
1219,Malbec Saurus (Schroeder)," R$ 147,00 ",#VALOR!,12 X 750ml,919,Tintos,,
1222,Pinot Noir Saurus (Schroeder)," R$ 147,00 ",#VALOR!,12 X 750ml,1269,Tintos,,
1226,Malbec Select (Schroeder)," R$ 199,00 ",#VALOR!,12 X 750ml,325,Tintos,,
1228,Pinot Noir Select (Schroeder)," R$ 199,00 ",#VALOR!,6 X 750ml,398,Tintos,,
1229,Pinot Noir Barrel Fermented (Schroeder)," R$ 322,00 ",#VALOR!,6 X 750ml,44,Tintos,,
1230,Malbec Barrel Fermented (Schroeder)," R$ 322,00 ",#VALOR!,6 X 750ml,150,Tintos,,
2659,Cabernet Franc Barrel Fermented (Schroeder)," R$ 322,00 ",#VALOR!,6 X 750ml,143,Tintos,,
1670,Familia Schroeder Malbec (Schroeder)," R$ 654,00 ",#VALOR!,6 X 750ml,75,Tintos,,
